state_code,current_date,cumulative_cases_at_current_date,cumulative_deaths_at_current_date,new_cases_since_a_week_before,new_deaths_since_a_week_before,day_since_federal_family_first_act,day_since_state_emergency,day_since_statewide_neb_closure,day_since_statewide_stay_at_home,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline,"Dominant Sector (BLS, Feb. 2020)",Raw # of employees (in thousands),Paid Family Leave,Paid Sick Leave,Any Paid Time Off,Unemployment Rate Feb 2020,Unemployment Rate Jan 2021,MedianIncome2017,Election Results Coding,Number code,2016 result,avg_commute_time,avg_commute_time_public_transport,COMMUTING TO WORK-Workers 16 years and over,"COMMUTING TO WORK-Workers 16 years and over-Car, truck, or van -- drove alone","Percent Estimate-COMMUTING TO WORK-Workers 16 years and over-Car, truck, or van -- drove alone","Estimate-COMMUTING TO WORK-Workers 16 years and over-Car, truck, or van -- carpooled","Percent Estimate-COMMUTING TO WORK-Workers 16 years and over-Car, truck, or van -- carpooled",Estimate-COMMUTING TO WORK-Workers 16 years and over-Public transportation (excluding taxicab),Percent Estimate-COMMUTING TO WORK-Workers 16 years and over-Public transportation (excluding taxicab),Estimate-COMMUTING TO WORK-Workers 16 years and over-Walked,Percent Estimate-COMMUTING TO WORK-Workers 16 years and over-Walked,Estimate-COMMUTING TO WORK-Workers 16 years and over-Other means,Percent Estimate-COMMUTING TO WORK-Workers 16 years and over-Other means,Estimate-COMMUTING TO WORK-Workers 16 years and over-Worked at home,Percent Estimate-COMMUTING TO WORK-Workers 16 years and over-Worked at home,Estimate-COMMUTING TO WORK-Workers 16 years and over-Mean travel time to work (minutes),Labour Overall Index Score,Labour Overall Index Ranking,Wage Dimension Score,Worker Protection Dimension Score,Right to Organize Dimension Score,Wage Dimension Score 2019,Wage Dimension ranking 2019,MIT Living Wage 2019,Minimum Wage 2019,Wage Ratio (Living wage/Minimum wage),Local Control of Min. Wage 2019 (1=Yes),Worker Protection Dimension 2020 Score,Worker Protection Dimension 2020 Ranking,"Family Leave Indicator (Job-protected leave for non-FMLA Workers < 1 year on job_0.5=Yes, 0.25=Yes for Pregnant Workers only)",Family Leave Indicator ( Job-protected leave longer than Federal FMLA),Paid Family Leave (Yes=1),Paid Sick Leave Indicator Law in Place (1=Yes),Flexible Scheduling (yes=1),Reporting Pay (yes=1),Split Shift Pay 2019 (yes=1),Advanced Shift Notice 2019 (yes=1)
GA,2020-04-28,23607,1022,4418,212,41,45,nan,25,-24.0,-6.0,15.0,-43.0,-45.0,12.0,Trade Transportation and Utilities,954.3,No,No,No,3.1,2.7,56183,AllR,1,R,28.5,50.2,4667378,3708394,79.5,456908,9.8,99181,2.1,69380,1.5,79013,1.7,254502,5.5,28.4,11.4775306,48,9.432591814,13.88888889,11.11111111,9.432591814,50,25.6,7.25,0.283203125,0,13.88888889,48,0.0,0.0,0,0,0,0,0,0
HI,2020-04-28,602,16,22,4,41,55,34,34,-48.0,-28.0,-59.0,-67.0,-48.0,13.0,Leisure and Hospitality,127.6,No,No,No,2.7,2.7,77765,AllD,5,D,27.5,50.9,700228,468932,67.0,97951,14.0,45326,6.5,31742,4.5,22925,3.3,33352,4.8,27.4,58.49872048,17,21.32949478,54.16666667,100.0,21.32949478,30,32.39,10.1,0.311824637,0,54.16666667,11,0.5,0.0,0,0,0,0,0,0
IA,2020-04-28,6376,136,2735,53,41,42,nan,nan,-29.0,2.0,73.0,-17.0,-41.0,11.0,Trade Transportation and Utilities,308.2,No,No,No,2.8,3.1,58570,Tie,3,R,19.1,30.5,1583271,1285034,81.2,131548,8.3,17435,1.1,51801,3.3,22181,1.4,75272,4.8,19.1,24.45636696,40,15.73021198,24.30555556,33.33333333,15.73021198,39,24.3,7.25,0.298353909,0,24.30555556,35,0.25,0.0,0,0,0,0,0,0
ID,2020-04-28,1952,60,186,9,41,46,34,34,-19.0,3.0,129.0,-15.0,-41.0,4.0,Trade Transportation and Utilities,145.7,No,No,No,2.8,3.4,52225,AllD,5,R,20.3,56.3,757408,595426,78.6,75430,10.0,5418,0.7,19434,2.6,15694,2.1,46006,6.1,20.7,19.99566308,45,9.986989242,22.22222222,27.77777778,9.986989242,48,25.48,7.25,0.284536892,0,22.22222222,37,0.0,0.0,0,0,0,0,0,0
IL,2020-04-28,48102,2132,15043,653,41,50,38,38,-36.0,-11.0,10.0,-49.0,-50.0,14.0,Trade Transportation and Utilities,1206.2,No,No,No,3.5,3.1,62992,AllD,5,D,29.1,49.6,6124144,4476231,73.1,486708,7.9,578636,9.4,182578,3.0,109262,1.8,290729,4.7,29.0,63.40785708,15,45.77912679,44.44444444,100.0,45.77912679,18,26.57,8.25,0.310500565,1,44.44444444,16,0.0,0.0,0,0,0,0,0,0
IN,2020-04-28,16783,992,4569,261,41,53,34,34,-22.0,-2.0,100.0,-16.0,-44.0,10.0,Trade Transportation and Utilities,602,No,No,No,3.1,2.8,54181,MostR,2,R,23.0,40.1,3107072,2578594,83.0,272480,8.8,31522,1.0,64980,2.1,42893,1.4,116603,3.8,23.6,38.11528584,29,17.12363528,30.55555556,66.66666667,17.12363528,34,24.03,7.25,0.301706201,0,30.55555556,25,0.0,0.0,0,0,0,0,0,0
KS,2020-04-28,3601,127,1487,20,41,47,nan,29,-26.0,-6.0,73.0,-18.0,-44.0,11.0,Trade Transportation and Utilities,268.2,No,No,No,3.1,4.2,56422,AllR,1,R,19.7,42.4,1422992,1169866,82.2,129959,9.1,6898,0.5,33452,2.4,19435,1.4,63382,4.5,19.3,23.47473419,41,14.86864702,22.22222222,33.33333333,14.86864702,41,24.47,7.25,0.296281161,0,22.22222222,37,0.0,0.0,0,0,0,0,0,0
KY,2020-04-28,4375,231,1182,59,41,53,33,33,-21.0,1.0,69.0,-22.0,-43.0,9.0,Trade Transportation and Utilities,400.8,No,No,No,4.3,5.2,48375,AllR,1,R,23.5,47.5,1929677,1584648,82.1,184705,9.6,20400,1.1,42943,2.2,27279,1.4,69702,3.6,23.3,36.45567048,30,17.70034476,30.55555556,61.11111111,17.70034476,32,23.92,7.25,0.303093645,0,30.55555556,25,0.0,0.0,0,0,0,0,0,0
LA,2020-04-28,27329,1801,2475,396,41,48,36,36,-30.0,-7.0,-20.0,-38.0,-41.0,10.0,Trade Transportation and Utilities,378.1,No,No,No,5.1,3.2,46145,AllR,1,R,25.4,42.1,2007599,1660274,82.7,187105,9.3,25582,1.3,36198,1.8,38150,1.9,60290,3.0,25.5,23.16408099,42,12.54779853,40.27777778,16.66666667,12.54779853,45,24.94,7.25,0.290697674,0,40.27777778,18,0.25,0.25,0,0,0,0,0,0
MA,2020-04-28,58302,3153,17103,1192,41,49,35,35,-43.0,-21.0,9.0,-68.0,-58.0,18.0,Education and Health Services,824.2,Yes,Yes,Yes,2.8,3.6,77385,AllD,5,D,30.2,48.5,3500223,2458064,70.2,262975,7.5,358143,10.2,171603,4.9,73404,2.1,176034,5.0,29.7,85.23548296,4,72.37311554,83.33333333,100.0,72.37311554,8,27.61,12.0,0.434625136,0,83.33333333,3,0.5,0.0,1,1,0,1,0,0
MD,2020-04-28,20200,1016,5939,364,41,54,36,29,-36.0,-18.0,4.0,-54.0,-54.0,18.0,Government,504.2,No,Yes,Yes,3.3,2.8,80776,AllD,5,D,30.7,49.9,3021967,2233034,73.9,273373,9.0,258397,8.6,70350,2.3,44388,1.5,142425,4.7,32.9,70.55348996,13,58.88269209,52.77777778,100.0,58.88269209,12,29.53,10.1,0.342025059,1,52.77777778,13,0.0,0.0,0,1,0,0,0,0
ME,2020-04-28,1040,51,152,15,41,44,34,27,-33.0,-10.0,19.0,-41.0,-43.0,11.0,Education and Health Services,130.2,No,No,Yes,3.1,3.3,56277,AllD,5,D,22.9,38.2,651799,511466,78.5,62978,9.7,4159,0.6,25602,3.9,10069,1.5,37525,5.8,24.0,83.98770175,5,97.79643857,54.16666667,100.0,97.79643857,2,25.25,11.0,0.435643564,1,54.16666667,11,0.5,0.0,0,0,0,0,0,0
MI,2020-04-28,39469,3566,6533,868,41,27,36,35,-35.0,-13.0,103.0,-41.0,-57.0,15.0,Trade Transportation and Utilities,805.6,No,No,Yes,3.8,3.1,54909,MostD,4,R,24.4,43.2,4504994,3714050,82.4,396427,8.8,61568,1.4,101150,2.2,56802,1.3,174997,3.9,24.5,38.38044125,28,54.03021263,27.77777778,33.33333333,54.03021263,13,24.2,9.45,0.390495868,0,27.77777778,33,0.0,0.0,0,0,0,0,0,0
MN,2020-04-28,4181,301,1614,141,41,46,nan,31,-37.0,-14.0,-1.0,-56.0,-49.0,15.0,Education and Health Services,549.1,No,No,No,3.2,5.4,68388,AllD,5,D,23.7,37.9,2879806,2243581,77.9,244564,8.5,103390,3.6,78319,2.7,47012,1.6,162940,5.7,23.5,74.11829487,10,73.74377349,48.61111111,100.0,73.74377349,7,26.1,9.86,0.377777778,1,48.61111111,15,0.5,0.0,0,0,0,0,0,0
MO,2020-04-28,7306,324,1365,103,41,46,nan,22,-26.0,-5.0,48.0,-26.0,-44.0,10.0,Trade Transportation and Utilities,543.1,No,No,No,3.5,3.5,53578,AllR,1,R,23.8,49.1,2855663,2338107,81.9,250024,8.8,40311,1.4,55495,1.9,33976,1.2,137750,4.8,23.6,40.22631361,26,31.79005195,22.22222222,66.66666667,31.79005195,26,25.52,8.6,0.33699059600000003,0,22.22222222,37,0.0,0.0,0,0,0,0,0,0
MS,2020-04-28,6342,239,1626,56,41,45,25,25,-14.0,1.0,9.0,-16.0,-35.0,7.0,Government,243.7,No,No,No,5.5,3.5,43529,AllR,1,R,23.0,38.6,1215697,1037238,85.3,111401,9.2,3393,0.3,17028,1.4,18858,1.6,27779,2.3,24.6,7.180489298,50,15.98591234,0.0,5.555555556,15.98591234,37,24.25,7.25,0.298969072,0,0.0,51,0.0,0.0,0,0,0,0,0,0
MT,2020-04-28,451,15,14,3,41,47,31,31,-23.0,7.0,90.0,-18.0,-35.0,3.0,Trade Transportation and Utilities,96,No,No,No,3.5,2.9,53386,AllR,1,R,17.3,33.9,499849,378154,75.7,48075,9.6,3852,0.8,25889,5.2,11376,2.3,32503,6.5,18.0,40.05461396,27,29.19161964,24.30555556,66.66666667,29.19161964,27,25.7,8.5,0.3307393,0,24.30555556,35,0.25,0.0,0,0,0,0,0,0
NC,2020-04-28,9568,353,2617,136,41,49,29,29,-24.0,-3.0,38.0,-38.0,-42.0,10.0,Trade Transportation and Utilities,851.5,No,No,No,3.6,2.2,52752,MostR,2,R,24.4,41.8,4660377,3781646,81.1,434180,9.3,47381,1.0,85152,1.8,58980,1.3,253038,5.4,24.5,11.81737945,47,13.22991613,22.22222222,0.0,13.22991613,43,24.8,7.25,0.29233871,0,22.22222222,37,0.0,0.0,0,0,0,0,0,0
ND,2020-04-28,991,19,347,6,41,46,nan,nan,-29.0,-9.0,5.0,-23.0,-35.0,11.0,Trade Transportation and Utilities,92.8,No,No,No,2.3,4.2,61843,AllR,1,R,18.6,32.6,398937,325252,81.5,34507,8.6,2150,0.5,13631,3.4,4474,1.1,18923,4.7,17.1,21.29263895,44,16.65569462,30.55555556,16.66666667,16.65569462,35,24.12,7.25,0.30058043100000004,0,30.55555556,25,0.0,0.0,0,0,0,0,0,0
NE,2020-04-28,3613,56,1887,18,41,46,nan,nan,-24.0,-5.0,66.0,-10.0,-40.0,10.0,Trade Transportation and Utilities,198.6,No,No,No,3.9,3.6,59970,AllR,1,R,18.8,33.6,980914,803715,81.9,88467,9.0,6531,0.7,26141,2.7,12516,1.3,43544,4.4,18.6,49.47375558,22,42.86571119,38.88888889,66.66666667,42.86571119,21,24.75,9.0,0.363636364,0,38.88888889,19,0.0,0.0,0,0,0,0,0,0
NH,2020-04-28,2010,60,519,18,41,46,31,31,-30.0,-10.0,40.0,-43.0,-47.0,14.0,Trade Transportation and Utilities,138.5,No,No,No,2.6,3.8,73381,AllD,5,D,24.4,33.7,707037,571653,80.9,55820,7.9,5806,0.8,19003,2.7,9493,1.3,45262,6.4,27.3,49.36289059,23,9.894227319,38.19444444,100.0,9.894227319,49,25.5,7.25,0.284313725,0,38.19444444,22,0.25,0.0,0,0,1,1,0,0
NJ,2020-04-28,113856,6442,21469,1689,41,50,38,38,-51.0,-15.0,25.0,-61.0,-58.0,19.0,Trade Transportation and Utilities,893.7,Yes,Yes,Yes,3.8,4.8,80088,AllD,5,D,28.7,50.2,4303118,3071526,71.4,344699,8.0,494549,11.5,125663,2.9,78251,1.8,188430,4.4,31.7,71.79705545,12,37.61338857,77.77777778,100.0,37.61338857,24,28.49,10.0,0.351000351,0,77.77777778,6,0.5,0.0,1,1,0,1,0,0
NM,2020-04-28,2975,110,903,45,41,48,35,35,-27.0,-3.0,4.0,-23.0,-45.0,10.0,Government,189.7,No,No,No,4.8,3.7,46744,MostD,4,D,22.1,36.9,880271,706167,80.2,88207,10.0,10139,1.2,18023,2.0,15267,1.7,42468,4.8,22.1,56.91178131,18,40.17978837,30.55555556,100.0,40.17978837,23,25.25,7.5,0.29702970300000003,1,30.55555556,25,0.0,0.0,0,0,0,0,0,0
NV,2020-04-28,4812,225,875,62,41,47,nan,28,-35.0,-8.0,-30.0,-48.0,-52.0,11.0,Leisure and Hospitality,356.4,No,No,Yes,3.6,3.6,58003,MostD,4,D,23.9,57.2,1351950,1056958,78.2,139518,10.3,46574,3.4,25750,1.9,29612,2.2,53538,4.0,24.3,32.64858814,33,28.50131998,36.11111111,33.33333333,28.50131998,28,25.07,8.25,0.32907858,0,36.11111111,23,0.0,0.0,0,0,0,0,0,0
NY,2020-04-28,300276,22777,44344,3737,41,52,37,37,-54.0,-15.0,22.0,-64.0,-57.0,18.0,Government,"1,488.10",Yes,Yes,Yes,3.8,3.6,64894,AllD,5,D,35.0,53.1,9246571,4913896,53.1,601311,6.5,2591512,28.0,569444,6.2,181239,2.0,389169,4.2,33.3,73.60302802,11,51.36463962,69.44444444,100.0,51.36463962,16,28.9,11.1,0.384083045,0,69.44444444,10,0.5,0.0,1,0,0,1,1,1
OH,2020-04-28,16769,799,3044,242,41,50,35,35,-26.0,-6.0,100.0,-21.0,-46.0,11.0,Trade Transportation and Utilities,"1,028.40",No,No,No,4.1,3.2,54021,Tie,3,R,23.5,43.0,5442764,4526389,83.2,423056,7.8,87570,1.6,121728,2.2,63706,1.2,220315,4.0,23.5,54.82124758,20,42.24152052,22.22222222,100.0,42.24152052,22,23.61,8.55,0.362134689,0,22.22222222,37,0.0,0.0,0,0,0,0,0,0
OK,2020-04-28,3410,207,603,43,41,26,27,nan,-20.0,0.0,25.0,-15.0,-39.0,9.0,Government,356.6,No,No,No,3.3,3.3,50051,AllR,1,R,21.5,30.2,1748344,1440542,82.4,174462,10.0,7428,0.4,31322,1.8,24342,1.4,70248,4.0,21.7,26.42096103,38,15.37399421,30.55555556,33.33333333,15.37399421,40,24.37,7.25,0.297496922,0,30.55555556,25,0.0,0.0,0,0,0,0,0,0
OR,2020-04-28,2385,99,383,21,41,51,nan,36,-31.0,-6.0,56.0,-37.0,-47.0,8.0,Trade Transportation and Utilities,359.3,Yes,Yes,Yes,3.3,4.7,60212,AllD,5,D,24.4,46.1,1895393,1356677,71.6,188867,10.0,85300,4.5,71623,3.8,63163,3.3,129763,6.8,23.7,82.02931755,6,62.75461933,83.33333333,100.0,62.75461933,10,27.34,11.25,0.411485004,0,83.33333333,3,0.5,0.5,0,1,1,1,1,1
PA,2020-04-28,45323,2092,9939,472,41,53,36,27,-35.0,-13.0,43.0,-48.0,-50.0,14.0,Education and Health Services,1307,No,No,No,4.7,3.4,59195,MostD,4,R,26.4,45.1,6032013,4593109,76.1,511844,8.5,337633,5.6,223371,3.7,85632,1.4,280424,4.6,26.9,46.08646707,24,16.037179000000002,22.22222222,100.0,16.037179000000002,36,24.24,7.25,0.299092409,0,22.22222222,37,0.0,0.0,0,0,0,0,0,0
RI,2020-04-28,7926,239,2426,68,41,50,nan,31,-32.0,-14.0,35.0,-61.0,-49.0,15.0,Education and Health Services,110.7,Yes,Yes,Yes,3.1,2.5,19343,AllD,5,D,23.9,44.9,515872,413105,80.1,44694,8.7,12915,2.5,18556,3.6,6172,1.2,20430,4.0,24.8,79.77563872,7,62.93802726,76.38888889,100.0,62.93802726,9,25.49,10.5,0.411926246,0,76.38888889,7,0.5,0.5,1,1,0,1,0,0
SC,2020-04-28,5735,192,1127,57,41,46,nan,21,-19.0,1.0,0.0,-18.0,-39.0,9.0,Trade Transportation and Utilities,410.6,No,No,No,2.4,3.3,63870,AllR,1,R,24.4,34.4,2215014,1825021,82.4,208135,9.4,11816,0.5,46140,2.1,32002,1.4,91900,4.1,24.6,14.3839409,46,12.59626715,30.55555556,0.0,12.59626715,44,24.93,7.25,0.29081428,0,30.55555556,25,0.0,0.0,0,0,0,0,0,0
SD,2020-04-28,2314,11,559,3,41,26,nan,nan,-24.0,4.0,37.0,-11.0,-36.0,9.0,Trade Transportation and Utilities,86.3,No,No,No,3.4,3.4,50570,AllR,1,R,16.6,29.8,436525,350530,80.3,37944,8.7,2448,0.6,15269,3.5,5278,1.2,25056,5.7,17.0,35.7814787,31,51.78888054,22.22222222,33.33333333,51.78888054,15,23.63,9.1,0.385103682,0,22.22222222,37,0.0,0.0,0,0,0,0,0,0
TN,2020-04-28,9974,190,2657,31,41,47,27,26,-18.0,-1.0,28.0,-23.0,-39.0,8.0,Trade Transportation and Utilities,653.1,No,No,No,3.3,3.5,56521,AllR,1,R,25.3,40.9,3003226,2503496,83.4,269408,9.0,21786,0.7,39970,1.3,37914,1.3,130652,4.4,25.0,21.6379482,43,21.16384461,32.63888889,11.11111111,21.16384461,31,23.28,7.25,0.311426117,0,32.63888889,24,0.0,0.25,0,0,0,0,0,0
TX,2020-04-28,26868,738,5919,186,41,46,nan,26,-30.0,-12.0,-14.0,-38.0,-46.0,13.0,Trade Transportation and Utilities,"2,549.20",No,No,No,4.5,2.5,51340,AllR,1,R,26.4,49.3,12842820,10345804,80.6,1305195,10.2,184848,1.4,196708,1.5,206213,1.6,604052,4.7,26.4,29.99579375,35,12.20960348,22.22222222,55.55555556,12.20960348,46,25.01,7.25,0.289884046,0,22.22222222,37,0.0,0.0,0,0,0,0,0,0
UT,2020-04-28,4343,45,1042,13,41,53,nan,32,-24.0,-4.0,89.0,-39.0,-47.0,8.0,Trade Transportation and Utilities,295.2,No,No,No,2.5,3.4,59206,AllR,1,R,21.6,43.3,1433444,1088975,76.0,159902,11.2,35349,2.5,36297,2.5,24655,1.7,88266,6.2,21.7,27.90448629,36,11.49123664,38.88888889,33.33333333,11.49123664,47,25.16,7.25,0.288155803,0,38.88888889,19,0.0,0.0,0,0,0,0,0,0
VA,2020-04-28,14338,492,4709,167,41,47,nan,29,-32.0,-11.0,23.0,-46.0,-48.0,14.0,Professional and Business Services,779.6,No,No,No,2.7,3.8,57513,MostD,4,D,27.8,47.1,4152433,3205870,77.2,382324,9.2,184405,4.4,99787,2.4,72326,1.7,207721,5.0,28.4,1.851851852,51,0.0,5.555555556,0.0,0.0,51,27.83,7.25,0.26051024100000003,0,5.555555556,49,0.0,0.0,0,0,0,0,0,0
VT,2020-04-28,862,46,44,7,41,46,34,35,-37.0,-17.0,60.0,-44.0,-51.0,13.0,Education and Health Services,65.4,No,Yes,Yes,2.4,2.6,68358,AllD,5,D,23.3,31.3,321624,244038,75.9,27960,8.7,3971,1.2,17852,5.6,5528,1.7,22275,6.9,22.9,79.22499219,8,62.67497656,75.0,100.0,62.67497656,11,26.21,10.78,0.411293399,0,75.0,8,0.5,0.0,0,1,1,0,0,0
WA,2020-04-28,14165,792,1755,109,41,59,34,36,-33.0,-10.0,28.0,-51.0,-53.0,12.0,Trade Transportation and Utilities,654.7,Yes,Yes,Yes,3.9,4.9,71535,AllD,5,D,27.6,48.6,3485339,2506808,71.9,346825,10.0,225913,6.5,125965,3.6,72652,2.1,207176,5.9,27.6,89.35855991,3,97.24234639,70.83333333,100.0,97.24234639,3,27.63,12.0,0.434310532,1,70.83333333,9,0.25,0.25,1,1,0,0,1,0
WI,2020-04-28,6289,300,1669,57,41,47,34,34,-37.0,-11.0,31.0,-31.0,-43.0,13.0,Manufacturing,484.2,No,No,No,3.5,2.7,43469,MostD,4,R,21.5,34.2,2920388,2369044,81.1,232054,7.9,51391,1.8,89410,3.1,47005,1.6,131484,4.5,22.0,24.74652558,39,14.51735453,26.38888889,33.33333333,14.51735453,42,24.54,7.25,0.295436023,0,26.38888889,34,0.5,0.0,0,0,0,0,0,0
