state_code,current_date,cumulative_cases_at_current_date,cumulative_deaths_at_current_date,new_cases_since_a_week_before,new_deaths_since_a_week_before,day_since_federal_family_first_act,day_since_state_emergency,day_since_statewide_neb_closure,day_since_statewide_stay_at_home,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline,"Dominant Sector (BLS, Feb. 2020)",Raw # of employees (in thousands),Paid Family Leave,Paid Sick Leave,Any Paid Time Off,Unemployment Rate Feb 2020,Unemployment Rate Jan 2021,MedianIncome2017,Election Results Coding,Number code,2016 result,avg_commute_time,avg_commute_time_public_transport,COMMUTING TO WORK-Workers 16 years and over,"COMMUTING TO WORK-Workers 16 years and over-Car, truck, or van -- drove alone","Percent Estimate-COMMUTING TO WORK-Workers 16 years and over-Car, truck, or van -- drove alone","Estimate-COMMUTING TO WORK-Workers 16 years and over-Car, truck, or van -- carpooled","Percent Estimate-COMMUTING TO WORK-Workers 16 years and over-Car, truck, or van -- carpooled",Estimate-COMMUTING TO WORK-Workers 16 years and over-Public transportation (excluding taxicab),Percent Estimate-COMMUTING TO WORK-Workers 16 years and over-Public transportation (excluding taxicab),Estimate-COMMUTING TO WORK-Workers 16 years and over-Walked,Percent Estimate-COMMUTING TO WORK-Workers 16 years and over-Walked,Estimate-COMMUTING TO WORK-Workers 16 years and over-Other means,Percent Estimate-COMMUTING TO WORK-Workers 16 years and over-Other means,Estimate-COMMUTING TO WORK-Workers 16 years and over-Worked at home,Percent Estimate-COMMUTING TO WORK-Workers 16 years and over-Worked at home,Estimate-COMMUTING TO WORK-Workers 16 years and over-Mean travel time to work (minutes),Labour Overall Index Score,Labour Overall Index Ranking,Wage Dimension Score,Worker Protection Dimension Score,Right to Organize Dimension Score,Wage Dimension Score 2019,Wage Dimension ranking 2019,MIT Living Wage 2019,Minimum Wage 2019,Wage Ratio (Living wage/Minimum wage),Local Control of Min. Wage 2019 (1=Yes),Worker Protection Dimension 2020 Score,Worker Protection Dimension 2020 Ranking,"Family Leave Indicator (Job-protected leave for non-FMLA Workers < 1 year on job_0.5=Yes, 0.25=Yes for Pregnant Workers only)",Family Leave Indicator ( Job-protected leave longer than Federal FMLA),Paid Family Leave (Yes=1),Paid Sick Leave Indicator Law in Place (1=Yes),Flexible Scheduling (yes=1),Reporting Pay (yes=1),Split Shift Pay 2019 (yes=1),Advanced Shift Notice 2019 (yes=1),Annual State GDP for 2019,U.S. State Population 2019 Estimate,U.S. State Land Area (Square Miles),State Population Per Square Mile
ID,2020-04-07,1210,15,684,6,20,25,13,13,-33.0,-6.0,89.0,-25.0,-46.0,16.0,Trade Transportation and Utilities,145.7,No,No,No,2.8,3.4,52225,AllD,5,R,20.3,56.3,757408,595426,78.6,75430,10.0,5418,0.7,19434,2.6,15694,2.1,46006,6.1,20.7,19.99566308,45,9.986989242,22.22222222,27.77777778,9.986989242,48,25.48,7.25,0.284536892,0,22.22222222,37,0.0,0.0,0,0,0,0,0,0,80911000000.0,1787065,82643.12,21.62388109
KS,2020-04-07,905,30,470,20,20,26,nan,8,-35.0,-12.0,126.0,-20.0,-46.0,17.0,Trade Transportation and Utilities,268.2,No,No,No,3.1,4.2,56422,AllR,1,R,19.7,42.4,1422992,1169866,82.2,129959,9.1,6898,0.5,33452,2.4,19435,1.4,63382,4.5,19.3,23.47473419,41,14.86864702,22.22222222,33.33333333,14.86864702,41,24.47,7.25,0.296281161,0,22.22222222,37,0.0,0.0,0,0,0,0,0,0,173143000000.0,2913314,81758.72,35.63306764
KY,2020-04-07,1289,66,699,48,20,32,12,12,-33.0,-3.0,55.0,-28.0,-47.0,16.0,Trade Transportation and Utilities,400.8,No,No,No,4.3,5.2,48375,AllR,1,R,23.5,47.5,1929677,1584648,82.1,184705,9.6,20400,1.1,42943,2.2,27279,1.4,69702,3.6,23.3,36.45567048,30,17.70034476,30.55555556,61.11111111,17.70034476,32,23.92,7.25,0.303093645,0,30.55555556,25,0.0,0.0,0,0,0,0,0,0,214671000000.0,4467673,39486.34,113.1447736
LA,2020-04-07,16284,582,11047,342,20,27,15,15,-41.0,-9.0,-19.0,-44.0,-45.0,18.0,Trade Transportation and Utilities,378.1,No,No,No,5.1,3.2,46145,AllR,1,R,25.4,42.1,2007599,1660274,82.7,187105,9.3,25582,1.3,36198,1.8,38150,1.9,60290,3.0,25.5,23.16408099,42,12.54779853,40.27777778,16.66666667,12.54779853,45,24.94,7.25,0.290697674,0,40.27777778,18,0.25,0.25,0,0,0,0,0,0,263857000000.0,4648794,43203.9,107.6012582
MA,2020-04-07,15202,356,8582,267,20,28,14,14,-46.0,-21.0,41.0,-70.0,-60.0,25.0,Education and Health Services,824.2,Yes,Yes,Yes,2.8,3.6,77385,AllD,5,D,30.2,48.5,3500223,2458064,70.2,262975,7.5,358143,10.2,171603,4.9,73404,2.1,176034,5.0,29.7,85.23548296,4,72.37311554,83.33333333,100.0,72.37311554,8,27.61,12.0,0.434625136,0,83.33333333,3,0.5,0.0,1,1,0,1,0,0,595559000000.0,"6,892,503",7800.06,883.6474335
MD,2020-04-07,4371,104,2709,86,20,33,15,8,-41.0,-21.0,7.0,-57.0,-56.0,25.0,Government,504.2,No,Yes,Yes,3.3,2.8,80776,AllD,5,D,30.7,49.9,3021967,2233034,73.9,273373,9.0,258397,8.6,70350,2.3,44388,1.5,142425,4.7,32.9,70.55348996,13,58.88269209,52.77777778,100.0,58.88269209,12,29.53,10.1,0.342025059,1,52.77777778,13,0.0,0.0,0,1,0,0,0,0,428339000000.0,6045680,9707.24,622.8011257999998
ME,2020-04-07,519,12,216,7,20,23,13,6,-43.0,-18.0,37.0,-47.0,-47.0,18.0,Education and Health Services,130.2,No,No,Yes,3.1,3.3,56277,AllD,5,D,22.9,38.2,651799,511466,78.5,62978,9.7,4159,0.6,25602,3.9,10069,1.5,37525,5.8,24.0,83.98770175,5,97.79643857,54.16666667,100.0,97.79643857,2,25.25,11.0,0.435643564,1,54.16666667,11,0.5,0.0,0,0,0,0,0,0,67518600000.0,1344212,30842.92,43.58251424
MN,2020-04-07,1069,34,440,22,20,25,nan,10,-41.0,-13.0,105.0,-54.0,-51.0,21.0,Education and Health Services,549.1,No,No,No,3.2,5.4,68388,AllD,5,D,23.7,37.9,2879806,2243581,77.9,244564,8.5,103390,3.6,78319,2.7,47012,1.6,162940,5.7,23.5,74.11829487,10,73.74377349,48.61111111,100.0,73.74377349,7,26.1,9.86,0.377777778,1,48.61111111,15,0.5,0.0,0,0,0,0,0,0,380855000000.0,5639632,79626.74,70.82585574
MO,2020-04-07,3037,80,1687,65,20,25,nan,1,-39.0,-10.0,65.0,-32.0,-48.0,17.0,Trade Transportation and Utilities,543.1,No,No,No,3.5,3.5,53578,AllR,1,R,23.8,49.1,2855663,2338107,81.9,250024,8.8,40311,1.4,55495,1.9,33976,1.2,137750,4.8,23.6,40.22631361,26,31.79005195,22.22222222,66.66666667,31.79005195,26,25.52,8.6,0.33699059600000003,0,22.22222222,37,0.0,0.0,0,0,0,0,0,0,332082000000.0,6137428,68741.52,89.28269261
MS,2020-04-07,1915,59,978,39,20,24,4,4,-35.0,-10.0,-16.0,-26.0,-42.0,17.0,Government,243.7,No,No,No,5.5,3.5,43529,AllR,1,R,23.0,38.6,1215697,1037238,85.3,111401,9.2,3393,0.3,17028,1.4,18858,1.6,27779,2.3,24.6,7.180489298,50,15.98591234,0.0,5.555555556,15.98591234,37,24.25,7.25,0.298969072,0,0.0,51,0.0,0.0,0,0,0,0,0,0,118780000000.0,2976149,46923.27,63.42586525
MT,2020-04-07,319,6,121,1,20,26,10,10,-38.0,-11.0,39.0,-33.0,-43.0,15.0,Trade Transportation and Utilities,96,No,No,No,3.5,2.9,53386,AllR,1,R,17.3,33.9,499849,378154,75.7,48075,9.6,3852,0.8,25889,5.2,11376,2.3,32503,6.5,18.0,40.05461396,27,29.19161964,24.30555556,66.66666667,29.19161964,27,25.7,8.5,0.3307393,0,24.30555556,35,0.25,0.0,0,0,0,0,0,0,52169100000.0,1068778,145545.8,7.343241784
NC,2020-04-07,3220,50,1693,40,20,28,8,8,-36.0,-9.0,24.0,-44.0,-45.0,18.0,Trade Transportation and Utilities,851.5,No,No,No,3.6,2.2,52752,MostR,2,R,24.4,41.8,4660377,3781646,81.1,434180,9.3,47381,1.0,85152,1.8,58980,1.3,253038,5.4,24.5,11.81737945,47,13.22991613,22.22222222,0.0,13.22991613,43,24.8,7.25,0.29233871,0,22.22222222,37,0.0,0.0,0,0,0,0,0,0,587711000000.0,10488084,48617.91,215.724699
ND,2020-04-07,237,4,111,1,20,25,nan,nan,-40.0,-8.0,21.0,-29.0,-37.0,18.0,Trade Transportation and Utilities,92.8,No,No,No,2.3,4.2,61843,AllR,1,R,18.6,32.6,398937,325252,81.5,34507,8.6,2150,0.5,13631,3.4,4474,1.1,18923,4.7,17.1,21.29263895,44,16.65569462,30.55555556,16.66666667,16.65569462,35,24.12,7.25,0.30058043100000004,0,30.55555556,25,0.0,0.0,0,0,0,0,0,0,57036800000.0,762062,69000.8,11.04424876
NE,2020-04-07,491,12,292,8,20,25,nan,nan,-31.0,-5.0,128.0,-15.0,-41.0,16.0,Trade Transportation and Utilities,198.6,No,No,No,3.9,3.6,59970,AllR,1,R,18.8,33.6,980914,803715,81.9,88467,9.0,6531,0.7,26141,2.7,12516,1.3,43544,4.4,18.6,49.47375558,22,42.86571119,38.88888889,66.66666667,42.86571119,21,24.75,9.0,0.363636364,0,38.88888889,19,0.0,0.0,0,0,0,0,0,0,127037000000.0,1934408,76824.17,25.17967978
NH,2020-04-07,747,13,380,10,20,25,10,10,-38.0,-14.0,63.0,-42.0,-49.0,20.0,Trade Transportation and Utilities,138.5,No,No,No,2.6,3.8,73381,AllD,5,D,24.4,33.7,707037,571653,80.9,55820,7.9,5806,0.8,19003,2.7,9493,1.3,45262,6.4,27.3,49.36289059,23,9.894227319,38.19444444,100.0,9.894227319,49,25.5,7.25,0.284313725,0,38.19444444,22,0.25,0.0,0,0,1,1,0,0,88595000000.0,"1,359,711",8952.65,151.87804730000005
NM,2020-04-07,794,13,479,8,20,27,14,14,-36.0,-7.0,2.0,-26.0,-47.0,18.0,Government,189.7,No,No,No,4.8,3.7,46744,MostD,4,D,22.1,36.9,880271,706167,80.2,88207,10.0,10139,1.2,18023,2.0,15267,1.7,42468,4.8,22.1,56.91178131,18,40.17978837,30.55555556,100.0,40.17978837,23,25.25,7.5,0.29702970300000003,1,30.55555556,25,0.0,0.0,0,0,0,0,0,0,104002000000.0,2096829,121298.15,17.28657032
NV,2020-04-07,2101,60,988,34,20,26,nan,7,-42.0,-17.0,-41.0,-55.0,-55.0,21.0,Leisure and Hospitality,356.4,No,No,Yes,3.6,3.6,58003,MostD,4,D,23.9,57.2,1351950,1056958,78.2,139518,10.3,46574,3.4,25750,1.9,29612,2.2,53538,4.0,24.3,32.64858814,33,28.50131998,36.11111111,33.33333333,28.50131998,28,25.07,8.25,0.32907858,0,36.11111111,23,0.0,0.0,0,0,0,0,0,0,177615000000.0,3080156,109781.18,28.05723167
NY,2020-04-07,141703,7185,65492,5256,20,31,16,16,-60.0,-11.0,-6.0,-69.0,-63.0,26.0,Government,"1,488.10",Yes,Yes,Yes,3.8,3.6,64894,AllD,5,D,35.0,53.1,9246571,4913896,53.1,601311,6.5,2591512,28.0,569444,6.2,181239,2.0,389169,4.2,33.3,73.60302802,11,51.36463962,69.44444444,100.0,51.36463962,16,28.9,11.1,0.384083045,0,69.44444444,10,0.5,0.0,1,0,0,1,1,1,1731910000000.0,"19,453,561",47126.4,412.79539710000006
OK,2020-04-07,1470,67,904,44,20,5,6,nan,-31.0,-5.0,50.0,-19.0,-43.0,16.0,Government,356.6,No,No,No,3.3,3.3,50051,AllR,1,R,21.5,30.2,1748344,1440542,82.4,174462,10.0,7428,0.4,31322,1.8,24342,1.4,70248,4.0,21.7,26.42096103,38,15.37399421,30.55555556,33.33333333,15.37399421,40,24.37,7.25,0.297496922,0,30.55555556,25,0.0,0.0,0,0,0,0,0,0,206058000000.0,3956971,68594.92,57.68606479999999
OR,2020-04-07,1181,33,491,15,20,30,nan,15,-39.0,-11.0,39.0,-42.0,-49.0,17.0,Trade Transportation and Utilities,359.3,Yes,Yes,Yes,3.3,4.7,60212,AllD,5,D,24.4,46.1,1895393,1356677,71.6,188867,10.0,85300,4.5,71623,3.8,63163,3.3,129763,6.8,23.7,82.02931755,6,62.75461933,83.33333333,100.0,62.75461933,10,27.34,11.25,0.411485004,0,83.33333333,3,0.5,0.5,0,1,1,1,1,1,251605000000.0,4217737,95988.01,43.94024837
PA,2020-04-07,14582,241,9585,169,20,32,15,6,-44.0,-20.0,18.0,-53.0,-54.0,21.0,Education and Health Services,1307,No,No,No,4.7,3.4,59195,MostD,4,R,26.4,45.1,6032013,4593109,76.1,511844,8.5,337633,5.6,223371,3.7,85632,1.4,280424,4.6,26.9,46.08646707,24,16.037179000000002,22.22222222,100.0,16.037179000000002,36,24.24,7.25,0.299092409,0,22.22222222,37,0.0,0.0,0,0,0,0,0,0,813514000000.0,12801989,44742.7,286.1246416
RI,2020-04-07,1229,30,741,22,20,29,nan,10,-40.0,-17.0,65.0,-60.0,-52.0,21.0,Education and Health Services,110.7,Yes,Yes,Yes,3.1,2.5,19343,AllD,5,D,23.9,44.9,515872,413105,80.1,44694,8.7,12915,2.5,18556,3.6,6172,1.2,20430,4.0,24.8,79.77563872,7,62.93802726,76.38888889,100.0,62.93802726,9,25.49,10.5,0.411926246,0,76.38888889,7,0.5,0.5,1,1,0,1,0,0,63541100000.0,"1,059,361",1033.81,1024.715373
SC,2020-04-07,2417,51,1334,29,20,25,nan,0,-36.0,-3.0,-21.0,-31.0,-43.0,17.0,Trade Transportation and Utilities,410.6,No,No,No,2.4,3.3,63870,AllR,1,R,24.4,34.4,2215014,1825021,82.4,208135,9.4,11816,0.5,46140,2.1,32002,1.4,91900,4.1,24.6,14.3839409,46,12.59626715,30.55555556,0.0,12.59626715,44,24.93,7.25,0.29081428,0,30.55555556,25,0.0,0.0,0,0,0,0,0,0,246309000000.0,5148714,30060.7,171.277249
SD,2020-04-07,320,6,213,5,20,5,nan,nan,-31.0,2.0,123.0,-17.0,-36.0,14.0,Trade Transportation and Utilities,86.3,No,No,No,3.4,3.4,50570,AllR,1,R,16.6,29.8,436525,350530,80.3,37944,8.7,2448,0.6,15269,3.5,5278,1.2,25056,5.7,17.0,35.7814787,31,51.78888054,22.22222222,33.33333333,51.78888054,15,23.63,9.1,0.385103682,0,22.22222222,37,0.0,0.0,0,0,0,0,0,0,53305700000.0,884659,75811.0,11.66926963
TN,2020-04-07,4010,72,1961,59,20,26,6,5,-36.0,-7.0,5.0,-33.0,-45.0,17.0,Trade Transportation and Utilities,653.1,No,No,No,3.3,3.5,56521,AllR,1,R,25.3,40.9,3003226,2503496,83.4,269408,9.0,21786,0.7,39970,1.3,37914,1.3,130652,4.4,25.0,21.6379482,43,21.16384461,32.63888889,11.11111111,21.16384461,31,23.28,7.25,0.311426117,0,32.63888889,24,0.0,0.25,0,0,0,0,0,0,380138000000.0,6829174,41234.9,165.61635900000005
TX,2020-04-07,8968,177,5380,120,20,25,nan,5,-38.0,-16.0,-17.0,-42.0,-49.0,21.0,Trade Transportation and Utilities,"2,549.20",No,No,No,4.5,2.5,51340,AllR,1,R,26.4,49.3,12842820,10345804,80.6,1305195,10.2,184848,1.4,196708,1.5,206213,1.6,604052,4.7,26.4,29.99579375,35,12.20960348,22.22222222,55.55555556,12.20960348,46,25.01,7.25,0.289884046,0,22.22222222,37,0.0,0.0,0,0,0,0,0,0,1886960000000.0,28995881,261231.71,110.996789
UT,2020-04-07,1737,13,850,8,20,32,nan,11,-35.0,-9.0,68.0,-44.0,-50.0,19.0,Trade Transportation and Utilities,295.2,No,No,No,2.5,3.4,59206,AllR,1,R,21.6,43.3,1433444,1088975,76.0,159902,11.2,35349,2.5,36297,2.5,24655,1.7,88266,6.2,21.7,27.90448629,36,11.49123664,38.88888889,33.33333333,11.49123664,47,25.16,7.25,0.288155803,0,38.88888889,19,0.0,0.0,0,0,0,0,0,0,188501000000.0,3205958,82169.62,39.01634205
VA,2020-04-07,3332,69,2083,42,20,26,nan,8,-37.0,-12.0,29.0,-50.0,-50.0,20.0,Professional and Business Services,779.6,No,No,No,2.7,3.8,57513,MostD,4,D,27.8,47.1,4152433,3205870,77.2,382324,9.2,184405,4.4,99787,2.4,72326,1.7,207721,5.0,28.4,1.851851852,51,0.0,5.555555556,0.0,0.0,51,27.83,7.25,0.26051024100000003,0,5.555555556,49,0.0,0.0,0,0,0,0,0,0,554211000000.0,8535519,39490.09,216.14331600000003
VT,2020-04-07,575,23,282,10,20,25,13,14,-48.0,-25.0,52.0,-48.0,-56.0,21.0,Education and Health Services,65.4,No,Yes,Yes,2.4,2.6,68358,AllD,5,D,23.3,31.3,321624,244038,75.9,27960,8.7,3971,1.2,17852,5.6,5528,1.7,22275,6.9,22.9,79.22499219,8,62.67497656,75.0,100.0,62.67497656,11,26.21,10.78,0.411293399,0,75.0,8,0.5,0.0,0,1,1,0,0,0,34785100000.0,"623,989",9216.66,67.70229129
WA,2020-04-07,8683,409,3390,183,20,38,13,15,-40.0,-15.0,37.0,-56.0,-58.0,22.0,Trade Transportation and Utilities,654.7,Yes,Yes,Yes,3.9,4.9,71535,AllD,5,D,27.6,48.6,3485339,2506808,71.9,346825,10.0,225913,6.5,125965,3.6,72652,2.1,207176,5.9,27.6,89.35855991,3,97.24234639,70.83333333,100.0,97.24234639,3,27.63,12.0,0.434310532,1,70.83333333,9,0.25,0.25,1,1,0,0,1,0,599608000000.0,7614893,66455.52,114.5863128
WV,2020-04-07,413,4,251,3,20,22,14,14,-36.0,-10.0,4.0,-28.0,-43.0,15.0,Government,152.1,No,No,No,5.0,3.7,70979,AlllR,1,R,23.9,35.5,727792,600897,82.6,66722,9.2,6627,0.9,20940,2.9,8393,1.2,24213,3.3,25.8,44.86536353,25,48.48497949,30.55555556,55.55555556,48.48497949,17,23.2,8.75,0.377155172,0,30.55555556,25,0.0,0.0,0,0,0,0,0,0,78189500000.0,1792147,24038.21,74.55409533
WY,2020-04-07,221,0,100,0,20,25,nan,nan,-32.0,-5.0,15.0,-13.0,-37.0,14.0,Trade Transportation and Utilities,532.8,No,No,No,3.7,5.8,59305,AllR,1,R,17.3,46.8,287175,222984,77.6,28692,10.0,3774,1.3,11285,3.9,5589,1.9,14851,5.2,17.8,31.25456337,34,15.98591234,22.22222222,55.55555556,15.98591234,37,24.25,7.25,0.298969072,0,22.22222222,37,0.0,0.0,0,0,0,0,0,0,39646200000.0,578759,97093.14,5.96086397
